ngram,frequency
_th,10962
the,10438
he_,8642
nd_,4966
and,4853
_an,4659
_of,3353
_to,3041
of_,2810
to_,2785
ed_,2771
you,2389
_yo,2366
e_t,2250
d_t,2240
is_,2165
er_,2148
_wi,1949
ll_,1946
ng_,1928
ing,1904
n_t,1794
_he,1778
es_,1770
en_,1766
_hi,1696
_be,1631
e_a,1630
on_,1549
s_a,1544
her,1529
e_l,1521
re_,1516
ou_,1489
in_,1488
_ha,1462
or_,1459
at_,1455
th_,1389
e_s,1381
for,1371
d_a,1370
_in,1365
his,1362
_fo,1345
as_,1275
s_t,1272
_a_,1259
t_t,1250
_is,1243
_so,1227
_wh,1197
_lo,1193
rd_,1139
f_t,1112
st_,1106
o_t,1103
_ma,1098
ord,1095
our,1093
d_h,1069
_on,1063
_it,1047
e_o,1027
_sa,1021
e_w,1011
ill,1009
_no,1000
hat,988
me_,986
ut_,969
an_,960
s_o,957
all,947
nt_,934
_go,934
lor,934
ur_,933
ent,933
e_f,929
it_,928
_se,928
ve_,926
r_t,910
t_o,898
d_s,896
wil,893
d_o,890
_al,889
ith,883
_wa,882
hen,880
e_i,870
_co,869
_re,857
wit,854
e_h,850
tha,849
e_b,836
n_a,819
rin,809
ere,809
_i_,799
_sh,798
d_i,794
ter,790
_mo,786
e_p,784
e_m,773
od_,769
t_i,761
ns_,752
ts_,749
ay_,749
ot_,733
t_a,731
ver,726
ose,723
e_c,713
_me,713
se_,708
_br,702
be_,702
s_s,699
_ar,692
le_,691
ave,684
_bu,678
s_w,675
_as,673
not,673
_la,667
ear,665
so_,657
rs_,656
ld_,656
ce_,655
_fr,654
ad_,650
_pr,644
eve,640
r_a,637
one,636
id_,628
ght,626
ey_,621
are,616
thi,615
_fa,610
d_w,610
_ca,608
im_,605
him,604
ne_,603
_we,603
d_b,593
hem,585
ons,584
est,582
m_t,578
em_,573
om_,573
off,571
ive,564
aid,555
hey,553
ath,550
_si,548
son,548
ses,547
ust,545
oth,542
s_h,532
n_o,528
fro,527
l_t,526
ar_,526
ly_,522
ers,521
rom,519
was,517
_li,514
_da,513
g_t,512
e_e,511
eri,511
out,504
man,502
s_f,499
_ho,498
she,493
whe,491
lea,491
_fi,490
am_,482
red,480
sai,476
ke_,475
ven,473
_mu,472
_do,471
my_,470
_my,469
ugh,467
_ou,465
fer,463
t_w,459
ate,457
ame,457
ain,457
ffe,456
s_i,454
r_s,453
d_f,451
ion,450
rea,445
ake,443
e_g,440
h_t,439
_pe,437
mus,437
eat,436
t_h,432
ore,432
mos,432
oun,429
god,426
com,425
old,422
s_b,421
y_t,421
lan,420
_st,420
_or,420
r_o,416
_de,413
ove,413
n_h,411
h_a,410
o_m,408
had,405
ow_,404
e_d,403
ir_,403
_di,402
bro,402
ple,399
_wo,397
_ea,396
r_h,395
m_a,395
e_y,395
who,392
t_b,392
_un,391
_le,390
ite,387
l_b,386
t_s,384
u_a,384
but,383
n_i,383
y_a,381
har,380
fat,378
tio,376
et_,376
tes,376
ten,373
_ab,372
d_m,371
hav,368
ome,367
day,357
ies,357
use,356
ron,355
ood,354
e_r,349
ah_,348
eir,348
_te,348
res,348
hal,347
