ngram,frequency
an_,21752
_na,13459
_sa,13208
_ka,10204
ng_,9310
_an,8179
_ni,7732
ang,7279
_ma,7132
na_,7117
sa_,6487
_si,6306
nin,5585
in_,5224
n_n,5189
iya,5041
nag,5028
n_s,5010
a_s,4899
_pa,4699
ga_,4698
n_m,4590
a_n,4568
ya_,4349
kan,4273
ind,4247
sin,4121
mga,4029
_mg,4013
ina,3860
a_a,3834
ong,3805
_da,3690
n_k,3592
_ta,3513
a_k,3419
aka,3205
ara,3097
a_m,3024
aga,2958
ala,2866
nda,2848
n_a,2842
o_n,2765
man,2740
on_,2739
ko_,2652
ni_,2632
sai,2626
o_a,2610
ako,2562
os_,2458
o_s,2411
ing,2407
nga,2405
gan,2362
da_,2347
dan,2325
a_p,2316
ay_,2301
yan,2154
n_d,2080
a_d,2013
asi,1987
ini,1936
i_n,1923
ta_,1878
ot_,1861
_as,1847
_di,1830
g_s,1807
g_n,1806
mag,1786
g_m,1786
o_k,1774
sak,1770
mo_,1765
a_t,1763
tan,1755
a_i,1744
_ba,1738
siy,1721
ndo,1698
gad,1696
pag,1680
asa,1677
i_j,1676
kam,1665
nan,1640
si_,1636
abi,1623
amo,1617
_je,1601
og_,1575
s_n,1543
n_p,1539
i_s,1536
do_,1532
ad_,1527
sus,1525
aro,1518
ata,1499
dai,1480
niy,1472
ka_,1470
us_,1468
jes,1461
esu,1458
aha,1456
ada,1455
ain,1452
aya,1447
_ak,1441
_in,1436
_al,1427
ai_,1424
ki_,1422
apa,1418
abo,1415
g_k,1381
han,1378
ana,1356
dio,1351
_ko,1328
lag,1325
aiy,1315
sab,1304
od_,1234
ags,1232
taw,1228
a_b,1220
aw_,1184
awo,1183
_ku,1170
ios,1167
aki,1165
i_k,1164
n_t,1160
hul,1147
_ga,1143
_ki,1140
pin,1139
ban,1137
agk,1136
uli,1129
lan,1124
aba,1110
_ha,1106
agt,1100
sar,1096
ano,1088
li_,1079
g_a,1058
as_,1057
ran,1057
kun,1055
ama,1049
iri,1049
n_i,1049
_hu,1044
o_m,1030
bi_,1024
lin,1001
ura,998
i_a,995
yo_,979
nab,972
gka,966
s_s,960
n_b,954
_pi,948
kat,947
ato,943
ron,932
kai,930
hay,926
s_a,924
ili,910
apo,908
san,908
may,905
t_n,904
gab,904
i_t,899
kon,892
kay,878
to_,870
ro_,867
t_s,863
uma,846
un_,841
gin,835
ram,833
n_g,826
agi,818
par,815
lo_,810
nak,804
wo_,797
ibo,796
mon,796
_gi,796
_la,795
ani,790
tin,780
at_,775
a_h,772
kak,757
gsa,750
g_p,748
ag_,745
n_h,743
i_p,740
agh,737
pan,735
iba,734
a_g,733
ayo,728
iha,725
ago,716
_mo,714
nas,710
_iy,708
agd,708
ari,705
bos,692
