ngram,frequency
_sa,22442
sa_,22367
ng_,22254
ang,19607
an_,13059
ga_,11719
_ka,10682
_an,10612
nga,8992
_na,8726
on_,7944
_ma,7585
_pa,7484
ug_,7448
_ug,7432
_ng,7007
a_s,6849
ala,6499
a_m,6479
_ni,6373
_si,6337
n_s,5672
_gi,5531
a_n,5412
iya,5263
g_m,5244
a_a,5229
a_k,5221
ong,5117
mga,4963
_mg,4963
ana,4804
ay_,4714
ing,4709
la_,4406
g_s,4294
ya_,4198
ni_,4194
_di,4118
pag,4107
a_p,4097
n_n,3845
o_s,3758
ila,3570
g_k,3501
_mi,3433
nan,3385
tan,3350
han,3329
a_i,3267
lan,3253
nag,3219
_ta,3212
g_n,3139
g_a,3087
ata,3085
od_,3072
_ba,3039
a_t,2882
ngo,2804
a_d,2777
pan,2708
a_u,2651
kan,2630
o_n,2608
n_a,2586
g_g,2569
ag_,2554
a_b,2553
g_p,2510
si_,2459
a_g,2431
_mo,2382
nak,2344
ta_,2330
to_,2298
aka,2297
_ko,2274
ali,2256
gon,2242
_je,2221
ko_,2185
ili,2184
mo_,2172
i_s,2132
aha,2123
na_,2112
i_j,2097
o_a,2068
os_,2065
yo_,2053
usa,2050
yan,2035
ama,2021
li_,2002
siy,1986
aw_,1964
ka_,1939
n_m,1929
_da,1922
kon,1913
_la,1913
n_u,1908
ako,1895
man,1874
awa,1852
ayo,1851
ban,1831
gan,1827
_bu,1789
ini,1779
g_t,1765
ina,1760
_in,1759
og_,1752
asa,1747
imo,1715
wal,1690
apa,1688
g_i,1674
n_k,1647
taw,1629
uba,1626
ita,1624
bal,1612
us_,1587
g_b,1581
ahi,1568
as_,1568
aro,1551
ron,1549
g_d,1545
nin,1529
d_s,1518
a_l,1516
ot_,1514
_wa,1503
_iy,1502
dil,1496
aga,1460
sil,1441
niy,1438
at_,1435
aba,1429
ung,1406
yon,1401
esu,1395
jes,1392
iha,1388
o_k,1385
ulo,1380
mag,1379
iin,1377
kat,1369
sus,1367
ika,1360
agp,1357
kin,1356
ag-,1348
g_u,1346
_ki,1341
o_u,1334
sul,1317
nyo,1311
_un,1300
iny,1293
lo_,1287
o_m,1285
i_n,1279
ari,1279
uha,1278
mon,1272
ato,1270
hat,1269
ani,1267
i_m,1253
i_a,1247
mak,1247
_ti,1234
_ha,1224
gpa,1221
lay,1208
aki,1192
nah,1184
