ngram,frequency
ng_,14205
ang,14028
_sa,13098
ga_,11280
_ka,9032
nga,8358
sa_,8240
_ng,7302
_ma,6675
_an,6441
_na,6082
san,5706
on_,5479
an_,5372
_si,5249
a_s,5048
_pa,4662
nag,4535
la_,4124
a_m,4090
ya_,3915
mga,3881
ag_,3865
_mg,3865
a_n,3842
_gi,3832
iya,3831
ala,3830
a_i,3464
a_k,3429
a_a,3375
ay_,3330
gin,3318
g_m,3296
kag,3277
aga,3192
mo_,2933
o_n,2919
_ni,2806
o_s,2771
n_n,2740
ila,2689
n_s,2582
a_p,2580
ni_,2548
g_i,2452
ing,2417
_in,2376
pag,2292
g_s,2238
_ta,2201
sil,2093
ata,2073
a_t,1972
yo_,1931
amo,1922
kon,1887
od_,1882
a_g,1882
man,1874
_iy,1860
g_n,1860
ako,1780
ana,1768
o_a,1715
mag,1705
lin,1650
_di,1610
g_a,1597
_ba,1592
ina,1575
o_k,1554
tan,1553
_ak,1516
si_,1512
n_k,1498
_je,1496
a_b,1477
gan,1476
ali,1461
aka,1458
taw,1427
g_k,1417
sus,1412
i_s,1412
ta_,1408
jes,1406
esu,1399
ili,1391
to_,1380
sin,1380
ags,1368
ka_,1368
us_,1349
i_j,1341
aba,1337
n_a,1325
bal,1320
ko_,1320
kam,1309
awo,1286
lan,1279
na_,1266
ama,1266
imo,1261
_ko,1257
agp,1248
os_,1239
apa,1237
kay,1218
ayo,1215
gpa,1204
g_p,1204
i_n,1191
siy,1176
wo_,1151
d_s,1137
iny,1131
nyo,1130
id_,1122
ini,1108
ind,1063
gid,1054
ndi,1046
pan,1021
wal,1010
o_m,998
g_g,997
may,991
agk,991
g_d,989
s_s,988
di_,985
gka,980
aw_,970
nan,968
isa,963
_la,962
_am,957
dio,957
ot_,952
_il,948
mat,945
g_t,941
at_,939
ro_,939
a_d,934
dto,915
_wa,894
bat,891
t_s,876
n_m,872
ita,870
aki,861
ari,840
yon,840
nak,839
aha,838
_da,825
_im,824
ios,818
ani,797
_su,797
no_,795
ero,794
par,794
niy,781
gsi,773
ung,773
asa,772
in_,768
d_n,752
_ga,740
god,740
_bu,735
_ha,733
per,733
ahi,729
atu,722
kit,720
i_k,714
s_n,709
_tu,707
pat,702
mak,702
ada,693
g_b,689
han,675
agh,674
ri_,665
_is,665
ban,665
pa_,663
lo_,661
ano,657
uta,656
a_l,651
kat,649
kal,649
i_a,649
ati,641
ngo,640
nah,638
y_n,627
ulo,625
tag,623
him,623
awa,616
nin,615
n_p,612
abo,595
mal,593
i_m,591
o_p,587
y_s,585
ong,581
as_,579
_pe,575
kab,574
o_g,566
ton,560
ulu,557
ato,555
ula,554
day,553
t_n,550
o_i,548
law,545
n_g,539
sug,534
uha,532
inp,532
ngi,532
abu,530
ino,529
gal,528
uan,527
gap,526
npa,525
adt,521
tun,521
ara,508
uno,506
aan,503
sul,499
gab,497
bay,496
nil,493
anu,489
dla,488
adl,488
dal,486
asu,484
pam,483
_bi,482
uga,476
iba,469
s_k,468
kas,468
d_k,466
but,465
ago,464
agt,463
aya,461
og_,460
it_,457
kad,453
a_h,452
tay,451
asi,450
inh,448
har,447
n_i,438
mon,437
lay,437
hat,436
_ti,436
om_,432
ak_,429
ika,429
tuo,424
ra_,423
did,421
sal,421
idt,420
hal,420
ad_,419
ngk,417
y_k,413
_ag,404
ia_,404
una,403
gas,400
iri,399
gha,398
lag,398
y_m,396
agi,393
gah,388
agb,385
s_a,383
alu,380
ins,376
ron,376
_ju,373
_du,372
bot,371
nug,369
_mo,369
maa,366
buh,363
uma,363
ngg,361
gsa,360
paa,359
tin,359
ahu,358
nat,356
_ad,356
li_,355
pal,354
nha,353
ami,351
k_s,347
gba,346
kah,345
uon,345
aay,343
ham,341
alo,340
mba,340
a_w,339
yan,335
gko,334
mad,334
aro,333
uwa,333
d_a,332
nod,332
ti_,330
_hi,329
usa,328
aho,325
pak,324
ugo,324
udl,323
lam,323
wa_,322
ant,321
hi_,320
bis,319
g_h,319
_ku,318
gay,318
ha_,318
t_k,317
tap,316
_pi,315
sto,312
nap,310
apu,310
gat,309
nas,306
kar,306
i_p,304
d_m,304
sab,304
_pu,301
y_a,300
_ik,299
non,297
apo,297
uko,296
_es,296
lak,295
nta,294
aon,293
dlo,292
lat,289
gsu,289
al_,288
dam,288
o_d,286
sak,285
and,285
ipa,283
art,282
y_j,281
gla,281
nda,279
inu,277
i_g,277
te_,277
t_a,277
gam,276
ghi,275
agl,274
gon,274
ubo,273
abi,273
ran,271
lon,270
gaa,270
_ki,270
uhi,268
kaa,268
int,266
amb,266
adu,265
mas,263
_at,263
hib,263
oy_,262
git,260
a_j,260
bul,259
kap,257
a_u,256
pad,256
lun,255
itu,254
w_s,254
tub,253
sia,253
agu,252
ris,251
ok_,250
upo,249
bab,249
uli,247
e_s,247
gda,246
ugu,243
_ib,242
lib,242
kot,241
pit,241
gtu,240
ria,240
g_l,240
sum,239
ain,239
pos,238
gad,238
_lu,238
api,238
lug,238
ig_,237
mah,235
mi_,235
go_,234
jud,234
gak,233
kaw,233
bo_,233
lal,232
sad,231
o_b,228
tab,226
pod,226
lip,225
ian,225
ugi,225
uod,225
mul,224
agd,223
l_s,222
esp,222
rit,221
rte,221
dan,221
gga,220
nab,219
umu,219
n_d,219
el_,218
mar,214
noo,214
lap,213
spi,213
dir,212
gi_,211
w_n,210
kau,210
sun,209
m_s,209
ndo,208
uyo,208
bin,208
k_n,208
are,207
uto,206
aag,206
ar_,204
n_t,201
lab,201
pus,200
pir,199
way,199
hin,199
bon,198
pah,196
_ya,196
dum,196
pun,196
eo_,196
duh,195
amu,194
kan,194
lik,193
nam,192
ona,192
tum,190
ma_,190
iha,190
_li,190
s_m,189
bug,188
igu,187
ho_,187
kao,186
hig,184
was,184
a_e,184
lod,183
gma,183
ngh,183
kak,182
pon,182
pay,182
lig,182
inb,180
pul,180
y_g,180
hun,179
da_,179
y_p,178
ayi,178
oo_,178
aku,177
yi_,177
yag,177
am_,175
_gu,174
m_n,173
sta,173
nsu,171
hon,171
reh,169
ibu,169
y_i,169
ist,169
pil,168
i_h,168
tu_,168
pas,168
eho,168
mab,167
ggi,167
dak,165
n_b,165
nhi,165
ima,164
iga,164
o_w,163
nsa,163
s_p,163
uba,163
ilo,163
wat,163
nud,162
uya,162
kun,161
gta,161
map,160
o_t,159
es_,159
i_b,159
uo_,159
nay,158
_uk,157
sub,157
m_k,156
s_g,154
kin,154
iwa,154
und,154
nad,153
naw,152
ion,151
bas,148
hom,148
yar,148
est,148
er_,147
i_d,147
emp,146
nun,146
tar,145
lua,145
_hu,145
nto,144
so_,143
ust,143
ter,142
_pr,142
sya,142
jua,142
sim,141
l_n,141
ida,141
bi_,141
liw,141
ik_,141
aa_,140
gdu,140
udi,140
luo,139
ito,139
gar,137
ayu,137
guo,137
nal,135
unu,135
dul,133
cri,133
tia,133
imb,132
pab,132
rus,132
g_u,132
ira,131
n_l,131
io_,131
nwa,130
op_,129
sap,129
lad,129
lai,128
gag,127
lao,127
saw,127
iso,127
ope,126
pro,126
se_,126
aab,125
lit,125
gul,124
mta,123
kop,123
_ul,123
do_,123
d_p,122
sam,122
tah,122
kil,122
_mi,122
d_i,122
ise,122
i_i,121
g_w,121
i_t,120
ipo,120
pau,120
kuh,120
syo,120
wag,120
tud,119
gug,119
o_l,119
rta,119
nsi,118
ugm,118
aal,118
ngu,118
ngl,118
eta,117
uti,117
sar,117
r_s,116
aot,116
hul,116
aut,115
yaw,115
muy,115
gos,115
ibo,115
bil,115
w_a,114
uoy,114
ghu,114
tal,114
_jo,114
aup,113
dog,113
imu,112
gus,112
ntu,111
ose,111
son,111
dut,111
n_h,111
bah,111
pin,110
dad,110
luy,110
gua,110
nti,109
iin,109
ba_,109
hel,109
tug,109
aug,108
asy,108
osa,108
ghe,108
tio,107
ora,107
ado,107
i_l,107
_te,106
t_m,106
_ip,106
dii,106
i_e,106
guw,105
w_k,105
aul,105
_cr,105
tig,104
gya,103
nba,103
is_,102
tul,102
haw,101
ras,101
nsy,100
jer,100
pet,100
o_h,100
wan,100
ale,99
bag,98
log,98
lul,98
anw,98
u_s,98
muo,98
ugd,98
amt,98
_ab,97
ast,97
oan,97
bra,97
r_n,96
tod,96
eru,96
mpl,96
tos,96
nna,96
p_s,95
tak,95
ud_,95
mpo,95
lem,94
k_k,94
dug,94
e_k,94
hil,94
_as,94
kig,93
_tr,93
rop,93
s_i,93
war,92
lok,92
mis,92
gti,92
uda,92
loy,91
e_n,91
luw,91
lah,91
dap,90
ard,90
gku,90
ias,90
tok,90
em_,90
sig,90
las,90
_up,89
_un,89
lis,89
_al,89
ol_,89
tem,88
plo,88
tsa,88
huk,87
inl,86
kom,86
_se,85
y_b,85
lom,85
y_d,84
bog,84
a_o,84
aty,84
_ap,84
uho,84
yad,84
nom,84
ea_,84
n_w,84
atl,84
gir,84
los,83
dun,83
uso,82
t_p,82
anh,82
g_j,82
nka,82
gbu,81
aso,81
unt,81
eli,81
bit,80
baw,80
tlo,80
seo,79
taa,79
ngd,79
w_m,79
apt,79
das,78
mot,78
tat,78
has,78
tam,78
g_e,77
hap,77
aun,77
les,77
lub,77
po_,76
r_a,76
_ut,76
jos,76
d_g,76
kai,76
gpu,75
u_n,75
lim,75
say,75
ob_,75
ped,75
edr,75
l_k,75
min,75
dro,75
m_a,74
big,74
daw,74
had,74
uka,74
huw,74
ut_,73
igo,73
agg,72
naa,72
ner,72
que,72
ans,72
tip,71
dom,71
oma,71
gil,70
ugp,70
yud,70
ki_,70
ugb,69
gip,69
nte,69
sol,69
_no,69
end,69
gut,69
kuw,69
a_y,69
_be,68
til,68
pte,68
tis,68
pap,68
s_d,67
or_,67
_ts,67
bau,67
mil,67
amp,67
laa,66
ubi,66
ste,66
won,66
ueo,66
upa,66
pis,65
ile,65
isi,65
ens,65
gwa,65
o_u,65
tyo,64
got,64
lil,64
nul,64
agm,64
_ih,64
bak,64
agr,63
sda,63
ape,63
lea,63
w_p,63
s_t,62
bos,62
nbu,62
dil,62
rdo,62
pre,62
ipu,61
_he,61
hod,61
doq,61
oqu,60
y_t,60
oka,60
gik,60
iye,60
g_c,60
hoy,59
arn,59
gli,59
nau,59
tas,59
glu,59
ugy,58
t_i,58
_id,58
bun,58
ern,57
ude,57
rne,57
yaa,57
obr,57
tro,57
bua,57
sen,57
_gr,57
tao,57
ary,57
sat,56
k_a,56
iel,56
ku_,56
nim,56
ubu,56
gaw,55
iko,55
mol,55
bub,55
tiy,55
dor,55
ihi,55
ump,54
l_a,54
mpa,54
r_k,54
ink,54
kus,54
gro,53
ret,53
wad,53
bet,53
boa,53
bar,53
pai,53
ode,53
lot,53
ais,52
ses,52
ent,52
_el,52
imp,52
n_u,52
yuh,51
oha,51
i_r,51
_ig,51
ryo,51
gbi,51
sas,51
mit,51
adi,51
gra,51
ies,50
um_,50
tie,50
bto,50
onn,50
tol,50
gob,50
ige,50
nie,49
lut,49
pie,49
sla,49
yna,49
iti,49
ggu,49
his,49
y_w,49
umd,49
ael,49
t_g,49
buk,48
rah,48
_do,48
bus,48
_it,48
abr,48
amh,48
rod,48
yem,48
_or,48
aza,48
aak,48
gna,48
ono,48
uwe,48
lih,47
hay,47
mbi,47
b_s,47
anp,47
her,47
rep,47
npe,47
ubt,47
isd,47
tra,47
des,47
agy,47
bok,47
_bo,47
ben,47
luk,47
obe,47
aas,47
ann,46
bud,46
oga,46
_so,46
ien,46
era,46
rar,46
nia,46
epa,46
zar,46
dag,46
ayn,46
d_l,46
uki,46
nog,45
luh,45
umo,45
rad,45
d_b,45
mpi,45
_o_,45
sah,45
tom,45
don,45
ilu,44
i_c,44
smo,44
ism,44
i_w,44
sna,44
uro,44
tii,44
mha,44
ibi,44
_ar,44
din,43
suk,43
ons,43
gai,43
tuy,43
ndu,43
kid,43
rut,43
onp,43
iyu,43
uot,43
daa,43
nla,43
nma,42
tob,42
mos,42
agw,42
alh,42
tor,42
dlu,42
moi,42
ost,42
dav,42
avi,42
vid,42
gog,42
sra,42
rae,42
isr,42
kog,41
hau,41
ois,41
ail,41
nob,41
_kr,41
_ra,41
kod,41
isy,41
rna,41
_ru,41
l_p,41
uls,41
iut,40
ask,40
lau,40
pla,40
gup,40
dos,40
ole,40
sko,40
ort,40
mai,40
_me,40
gun,40
lia,40
puw,39
gud,39
ert,39
s_l,39
esi,39
m_m,39
gih,39
ena,39
tik,39
nit,39
men,39
gki,39
uor,38
noe,38
kul,38
usl,38
a_r,38
gau,38
suo,38
sir,38
et_,38
hus,38
kos,38
buo,38
ont,38
ank,38
uas,38
d_d,38
akp,38
ord,38
y_l,38
deo,38
guh,38
mun,37
diu,37
gur,37
put,37
ugs,37
spa,37
hag,37
kut,37
tup,37
yas,36
il_,36
_um,36
wer,36
yun,36
ori,36
b_n,36
hum,36
tri,36
mbo,36
ngb,36
der,36
lyo,35
e_a,35
k_m,35
ngs,35
s_h,35
tua,35
emi,35
uig,35
rob,35
isu,35
osn,35
ugt,35
iil,35
oda,35
s_w,35
lso,34
y_h,34
nik,34
oaz,34
opa,34
tui,34
hab,34
_ja,34
usu,34
ge_,34
agn,33
mdo,33
ase,33
ab_,33
mna,33
ura,33
nai,33
aam,33
sog,32
ait,32
y_u,32
i_z,32
az_,32
iro,32
t_d,32
puy,32
igl,32
abe,32
sik,32
huy,32
gum,32
aub,31
saa,31
num,31
oem,31
kru,31
hao,31
dab,31
ten,31
rin,31
_go,31
kor,31
inm,31
ntr,31
bel,31
dtu,31
_ro,30
gis,30
y_c,30
ucr,30
suc,30
d_t,30
uns,30
rid,30
dis,30
ssa,30
aaw,30
nih,30
ays,30
t_t,30
sud,30
ysa,30
tuh,30
rno,30
gle,30
ao_,30
pri,30
dea,30
ska,30
_le,29
hak,29
igk,29
rom,29
goa,29
awi,29
ai_,29
n_j,29
res,29
kri,29
aru,29
iho,29
oni,29
en_,29
erm,29
sod,29
aog,28
umb,28
aid,28
oon,28
ray,28
nub,28
ame,28
_ay,28
o_y,28
moa,28
lwa,27
tya,27
sag,27
pua,27
sga,27
por,27
obi,27
rab,27
_za,27
lid,27
r_g,27
sti,27
ros,27
w_i,27
rmi,27
lup,26
dya,26
awt,26
iag,26
haa,26
ubl,26
_aw,26
kla,26
inw,26
bng,26
ubn,26
itl,26
g_y,26
ber,26
mpe,26
gyo,26
tna,26
dih,26
igy,26
usi,26
aca,25
ipe,25
nlu,25
ily,25
igd,25
ogi,25
ilw,25
i_u,25
gto,25
naz,25
ayh,25
d_h,25
car,25
_ug,25
amn,25
ipi,25
yap,25
e_m,25
ugh,25
hip,25
oby,25
u_k,25
a_c,25
w_t,25
lho,25
n_y,25
ral,25
ayl,25
ido,24
nku,24
ele,24
wto,24
sel,24
_ca,24
nuk,24
lha,24
yer,24
boy,24
hur,24
lda,24
aum,24
mau,24
nut,24
tuk,23
yha,23
tad,23
lus,23
gpr,23
tid,23
gbo,23
g_r,23
bad,23
abt,23
rde,23
puk,23
_co,23
ela,23
mao,23
onk,23
ond,23
gub,23
ere,23
sno,23
opi,22
p_n,22
mus,22
biy,22
dai,22
de_,22
awg,22
ylo,22
igi,22
b_k,22
yah,22
tog,22
ekr,22
ayg,22
aks,22
sek,22
ger,22
m_g,22
sma,21
gen,21
aqu,21
p_k,21
w_g,21
yua,21
gpi,21
cor,21
sai,21
ite,21
ets,21
yak,21
asn,21
aes,21
ebe,21
_pl,21
aad,21
ngp,21
hit,21
old,21
bih,21
l_g,21
pih,20
igh,20
olo,20
mig,20
ahe,20
guy,20
ikw,20
kwa,20
ely,20
lio,20
osp,20
eto,20
kub,20
nuh,20
lta,20
anm,20
qui,20
ese,20
rdi,20
eon,20
_re,20
yu_,20
isp,20
aco,20
usg,20
spe,20
m_p,20
n_o,20
ir_,20
paw,19
kua,19
ota,19
buy,19
pda,19
l_m,19
_ge,19
yen,19
lma,19
nya,19
aat,19
hug,19
yga,19
igb,19
imn,19
ate,19
e_p,19
hid,19
dao,19
yat,19
rib,19
e_g,19
nse,19
y_y,19
lum,19
t_u,19
yop,19
ub_,19
rai,19
apr,19
g_o,19
ime,19
ehe,18
oso,18
tlu,18
i_f,18
d_w,18
ede,18
k_g,18
he_,18
aus,18
dna,18
ua_,18
mdu,18
_ob,18
dua,18
omp,18
pig,18
sid,18
sgi,18
nig,18
osk,18
ega,18
ogu,18
oli,18
laz,18
yao,18
r_p,18
ngt,18
hub,17
mok,17
mel,17
bed,17
abd,17
akl,17
bro,17
_ub,17
mut,17
tru,17
b_m,17
cap,17
nok,17
ksi,17
omo,17
giy,17
nlo,17
mno,17
alt,17
zac,17
wig,17
gso,17
gno,17
npr,17
jac,17
cob,17
osy,17
leh,17
re_,17
l_i,17
imt,17
teo,16
hem,16
bli,16
sit,16
yal,16
s_u,16
_op,16
aim,16
sis,16
utu,16
m_i,16
aig,16
uyu,16
rye,16
npu,16
l_d,16
kto,16
gim,16
t_l,16
r_m,16
rim,16
ugw,16
oya,16
awh,16
oro,16
huo,16
mua,16
s_b,16
_mu,16
tib,16
oin,16
rda,16
oa_,16
jor,16
tla,16
gae,16
nso,16
u_a,16
osi,16
o_j,16
lar,16
_em,16
_to,15
ruo,15
lob,15
dia,15
bod,15
hiu,15
osg,15
rsi,15
ui_,15
tes,15
lya,15
mop,15
yam,15
kpa,15
atr,15
z_n,15
m_d,15
yok,15
npi,15
dka,15
ayp,15
pe_,15
rio,15
wgo,15
tka,15
k_d,15
uss,15
w_d,15
nao,15
_fe,15
gde,15
k_p,15
byo,15
w_b,15
nuo,15
atn,15
tso,15
mam,15
amg,14
pok,14
ine,14
wha,14
oab,14
hog,14
aky,14
t_h,14
sip,14
nhu,14
ulh,14
oko,14
upd,14
uer,14
akt,14
ugn,14
wos,14
_ol,14
ype,14
olu,14
kpo,14
ukm,14
fel,14
aye,14
yai,14
ye_,14
y_e,14
pot,14
w_l,14
nis,14
l_b,14
rag,14
tut,14
sue,14
air,13
ip_,13
uks,13
osd,13
bia,13
t_w,13
run,13
w_u,13
ius,13
_de,13
sob,13
lud,13
kma,13
nho,13
alm,13
kre,13
aje,13
t_b,13
oba,13
nib,13
omi,13
yab,13
u_g,13
uim,13
jai,13
gdi,13
_kl,13
dpa,13
o_o,13
udo,13
pwa,13
ola,13
apw,13
sem,13
lev,13
evi,13
k_i,12
not,12
p_a,12
rdy,12
nbi,12
y_r,12
aob,12
ayk,12
yka,12
gdo,12
utl,12
rig,12
odi,12
oyi,12
usp,12
b_a,12
bya,12
bla,12
rka,12
soo,12
wod,12
im_,12
aby,12
piy,12
noa,12
vi_,12
soh,12
wok,12
eri,12
itn,12
yos,12
ap_,12
yuo,12
ser,12
rti,12
tle,12
tim,12
rum,12
hok,11
idl,11
yoh,11
rog,11
mpr,11
kip,11
ark,11
dma,11
wah,11
i_o,11
oss,11
kya,11
str,11
ac_,11
ers,11
quo,11
gop,11
wop,11
lba,11
s_y,11
aom,11
bri,11
hor,11
leo,11
tpe,11
tga,11
ngn,11
tli,11
_ho,11
unh,11
eld,11
ade,11
usn,11
udu,11
ulm,11
rup,11
gru,11
mod,11
zeb,11
stu,11
odk,11
lui,11
aly,11
ego,11
mgo,11
ico,11
etl,11
pug,11
ady,11
ema,11
oam,10
aap,10
jon,10
ulb,10
_ia,10
tha,10
kum,10
rto,10
uni,10
rip,10
oto,10
ath,10
bta,10
_fa,10
kur,10
top,10
ram,10
pto,10
owa,10
e_l,10
syu,10
tus,10
dsa,10
kta,10
neg,10
ii_,10
okr,10
odp,10
o_e,10
iki,10
tko,10
iak,10
eba,10
gpe,10
vir,10
umt,10
sdi,10
uog,10
yor,10
tpa,10
nos,10
gaj,10
_vi,10
ksa,10
auy,10
suh,10
loa,10
e_i,10
tir,10
ene,10
osm,10
nli,10
ib_,10
pna,10
_ze,10
emb,10
hol,9
u_m,9
mka,9
gse,9
ery,9
abl,9
eni,9
wak,9
spo,9
kir,9
iah,9
hen,9
can,9
m_w,9
pi_,9
dre,9
ndr,9
dud,9
mko,9
ayd,9
mla,9
uml,9
apn,9
eno,9
lmo,9
yog,9
nge,9
pum,9
bae,9
lsa,9
c_n,9
kpi,9
bye,9
gel,9
aia,9
be_,9
msa,9
ars,9
ae_,9
otg,9
mbr,9
ug_,9
eth,9
aac,9
waa,9
esa,9
itk,9
d_u,9
r_i,9
k_l,9
wis,9
nko,9
age,9
nbe,9
ed_,9
duo,9
yod,9
tda,9
me_,9
pia,9
maw,9
igt,9
rra,9
utk,8
arr,8
meo,8
rot,8
l_t,8
deb,8
ass,8
ebo,8
joa,8
ome,8
ibr,8
_ne,8
tel,8
ec_,8
awn,8
idn,8
rat,8
yoa,8
etr,8
hia,8
nae,8
mih,8
orn,8
bda,8
ids,8
tot,8
any,8
bor,8
tih,8
pta,8
uwi,8
klo,8
lec,8
usk,8
ple,8
hiw,8
rga,8
dup,8
uel,8
m_b,8
dga,8
anl,8
wed,8
a_v,8
iab,8
eda,8
nar,8
_s_,8
dra,8
lsu,8
eny,8
tno,8
ats,8
bes,8
odn,8
lou,8
baa,8
usd,8
dah,7
deg,7
sao,7
c_a,7
dik,7
ign,7
toa,7
ukt,7
iul,7
noh,7
z_s,7
atk,7
gac,7
miy,7
gbe,7
roh,7
odo,7
wna,7
blo,7
ve_,7
anb,7
mpy,7
bio,7
_dr,7
mir,7
den,7
bid,7
ul_,7
nmg,7
imi,7
pyo,7
c_s,7
bir,7
gho,7
pen,7
ukl,7
its,7
iku,7
asg,7
omk,7
reb,7
uyt,7
atp,7
cai,7
con,7
asl,7
seb,7
rsa,7
uhu,7
oun,7
dda,7
amk,7
odg,7
nes,7
wi_,7
ydu,7
usm,7
dok,7
yin,7
met,7
otn,7
let,7
oe_,7
n_e,7
_iw,7
kib,7
raw,7
kup,7
sbu,7
_en,7
lop,7
inn,6
r_w,6
_eg,6
egi,6
ipt,6
kba,6
nng,6
ebi,6
ide,6
heg,6
gao,6
orm,6
dsi,6
sok,6
ote,6
e_d,6
nmi,6
a_f,6
tur,6
lde,6
dau,6
set,6
irg,6
rge,6
erb,6
d_y,6
kso,6
uri,6
ess,6
z_a,6
ory,6
ssi,6
yto,6
toy,6
zor,6
klu,6
ive,6
atb,6
isk,6
iam,6
gib,6
woa,6
r_d,6
nic,6
cod,6
odt,6
eso,6
sot,6
igg,6
mer,6
rik,6
tgi,6
_oh,6
oh_,6
iat,6
ipr,6
sih,6
_qu,6
igs,6
dim,6
wel,6
rel,6
_uh,6
kud,6
awk,6
w_w,6
ult,6
mie,6
_ef,6
wga,6
awp,6
rme,6
bdo,6
upl,6
zaq,6
oaq,6
idm,6
bol,6
mom,6
_lb,6
lbl,6
idu,6
lhi,6
umi,6
_ci,6
liu,6
onw,6
med,6
ler,6
mbu,6
gre,6
th_,6
sos,6
gte,6
mog,6
ikb,5
obo,5
h_s,5
kis,5
erd,5
kna,5
gwe,5
hai,5
co_,5
ric,5
bti,5
uob,5
tba,5
s_o,5
bai,5
_iu,5
lor,5
otu,5
swa,5
ogm,5
ebr,5
osb,5
iog,5
iot,5
sca,5
isc,5
_et,5
fes,5
sro,5
esr,5
adm,5
ges,5
gmi,5
atg,5
niv,5
u_p,5
gpl,5
osu,5
asd,5
m_u,5
otp,5
efe,5
ald,5
fam,5
woi,5
suw,5
ngw,5
loh,5
btu,5
tai,5
hle,5
thl,5
rtu,5
irt,5
dar,5
rla,5
erl,5
ems,5
rpa,5
pao,5
wom,5
mug,5
mya,5
amy,5
oho,5
kug,5
lyu,5
tit,5
wuh,5
awu,5
up_,5
apl,5
isl,5
omn,5
wka,5
gpo,5
nde,5
mik,5
l_h,5
