ngram,frequency
ti_,14642
iti,8097
_a_,7354
_ti,6736
_ke,5833
_it,5721
na_,4455
_na,4415
_da,4134
ana,4022
_ma,3988
a_a,3940
an_,3863
nga,3747
et_,3692
agi,3511
_ka,3450
dag,3368
en_,3316
a_n,3261
ket,3219
_ng,3213
_pa,3205
git,3199
ga_,3155
i_a,3079
ang,2838
a_k,2808
a_i,2788
ni_,2748
ken,2720
_ni,2628
da_,2616
a_t,2530
ay_,2456
ada,2401
pan,2211
nag,2123
nna,2069
_ta,2006
i_p,1952
i_d,1856
n_a,1840
nan,1821
_sa,1818
_ag,1726
nak,1723
aka,1722
no_,1706
aga,1682
_di,1652
o_a,1643
ata,1610
ann,1575
i_n,1559
i_k,1547
man,1539
aba,1525
n_n,1498
ara,1492
_ba,1490
_id,1486
ina,1477
a_m,1433
yo_,1430
n_t,1400
ayo,1397
tay,1380
o_k,1379
to_,1367
i_b,1357
n_i,1354
asa,1343
ami,1331
a_d,1330
kad,1326
a_p,1312
i_m,1291
idi,1267
ta_,1258
awa,1254
i_t,1248
o_i,1238
ng_,1232
_in,1191
aya,1143
apa,1142
in_,1141
t_n,1135
ak_,1132
_la,1131
ala,1105
i_s,1095
i_i,1090
aan,1086
oy_,1063
o_t,1046
di_,1012
tan,1004
toy,993
ali,982
i_j,982
day,963
_an,959
may,958
gan,950
ita,946
una,944
o_n,939
apu,938
_ad,931
_is,924
san,918
os_,916
ani,907
bal,905
t_i,901
kas,897
n_d,891
at_,890
on_,887
n_k,884
aki,883
dio,865
a_s,857
ag_,848
_si,844
ios,839
_am,814
dia,805
_ki,799
lin,791
y_a,771
sa_,770
i_l,755
as_,751
ama,741
min,741
ram,728
dda,728
em_,723
kin,717
add,716
_bi,716
kan,706
t_a,700
a_b,695
ngi,690
aw_,685
isu,680
iay,678
saa,677
agb,675
wan,658
ayt,657
s_k,657
ao_,654
nge,651
gba,646
ays,645
us_,640
ysa,636
_im,633
uan,633
ung,631
ing,626
agt,621
ari,619
ags,610
ia_,602
ipa,602
uma,602
inu,600
aen,599
eng,599
enn,599
nap,594
pag,593
_ap,591
gar,583
_je,580
nto,578
pud,576
_ca,573
nda,568
t_k,563
lan,560
bag,558
mo_,557
id_,557
bab,556
o_d,551
ito,551
nun,549
t_t,545
_no,542
wen,539
yto,538
ma_,535
iag,535
ant,533
esu,531
kit,525
gpa,524
mai,522
lak,522
kab,520
jes,519
dan,516
sus,514
am_,514
tao,512
bia,511
el_,510
kua,508
ud_,507
mid,506
dak,505
_pi,505
apo,505
pas,498
gna,496
mak,495
pat,493
s_i,489
g_a,488
mma,487
g_i,485
int,482
nal,478
a_l,475
adi,473
o_m,472
daw,472
bas,471
g_k,469
nay,468
nat,464
imm,463
ka_,460
i_c,458
kay,457
y_n,455
ist,455
_ar,455
ika,455
nia,453
su_,449
pay,445
it_,445
mat,444
apn,441
ong,440
tap,440
lo_,439
y_i,436
isa,435
gap,434
nai,433
asi,430
pno,430
i_e,424
ili,423
po_,423
gta,422
gem,420
ban,420
sto,417
i_u,411
y_k,407
s_t,406
gsa,405
lda,403
yat,403
ro_,401
_al,401
ian,400
nas,399
d_i,399
agp,399
_aw,397
ipu,397
amm,392
ris,391
and,390
enk,390
gga,387
sin,387
naa,386
pin,385
ald,385
_me,385
y_t,383
ura,382
_ga,381
g_t,381
kar,379
ona,378
_pu,377
ida,376
ua_,374
t_m,373
cri,371
kal,369
g_n,368
sar,368
ten,363
nta,362
i_r,360
ulo,360
al_,359
dad,357
met,356
awe,355
lal,353
gda,352
din,350
t_d,347
adu,346
s_a,345
agn,345
ano,345
sal,342
ar_,342
_cr,340
ngg,340
kap,339
ko_,335
sia,333
ane,331
par,330
_su,328
nar,328
l_a,326
all,325
_lu,320
k_i,318
_um,318
mas,318
aso,316
sat,315
aru,312
nka,310
alu,310
es_,309
eg_,309
dua,309
s_n,308
sol,308
ac_,307
imb,305
sak,304
tat,303
pap,303
ion,302
_tu,301
sio,301
bat,299
pul,296
ran,296
k_n,296
_ab,295
lae,294
li_,292
tal,292
mab,292
yan,287
ast,287
aip,284
ki_,284
ati,282
m_i,282
bil,282
sta,280
isi,278
ubo,277
n_m,277
oma,273
pak,273
nku,273
a_u,271
tag,271
k_k,269
nip,269
gin,269
ol_,268
uro,267
la_,266
nte,265
d_t,264
bay,263
gat,262
mba,261
law,261
l_k,261
nad,260
sur,259
a_c,259
agd,258
pu_,257
tna,257
ed_,256
_bu,256
lub,255
nen,255
pad,255
gay,254
inn,254
sao,254
n_p,254
d_k,254
pal,252
dat,252
taw,251
gid,250
daa,250
aca,250
bon,249
m_k,249
tul,248
ngo,248
_as,248
ray,248
agk,247
naw,247
ate,246
_ja,245
uda,245
ngp,243
ngn,243
gip,243
abi,242
cad,239
mmo,239
nno,239
ent,239
ngb,239
u_i,238
iba,238
t_s,238
k_t,236
itu,236
bli,235
iak,234
ek_,233
k_a,232
aco,231
anu,231
kat,230
bin,230
_ra,230
dit,229
map,229
mam,229
udn,228
bra,227
_jo,226
kaa,225
ima,225
tur,225
dno,224
saw,224
ot_,224
abr,223
bai,223
gka,223
ayd,223
ila,222
lpa,222
o_s,222
ai_,222
oan,221
kak,221
ob_,220
ini,219
ose,219
mi_,219
_es,218
gal,218
aay,218
m_a,217
gtu,217
_ip,217
_un,217
ted,217
nam,216
bib,215
gbi,215
sap,214
jac,214
alp,214
cob,213
lia,212
ibi,212
abu,211
kna,211
agu,211
kai,210
yon,210
t_p,210
se_,210
y_d,210
wat,209
uad,208
tta,208
nac,207
ide,207
rit,206
d_a,205
m_n,204
bsa,203
end,202
abs,202
u_a,202
ins,202
a_r,201
rsu,201
