ngram,frequency
ng_,45837
ing,26279
ang,16348
an_,12638
_ka,11978
at_,11077
g_k,10124
_at,9802
_ki,8611
kin,8516
_ma,7332
_in,7221
_na,6712
g_a,6539
_ke,6399
ala,6291
_a_,6254
a_k,5881
_di,5815
ung,5632
g_m,5397
kan,5195
ana,4507
lan,4473
nan,4371
a_a,4308
_la,4158
din,4113
na_,4082
_pa,3976
_ba,3904
nin,3884
_ni,3857
_da,3792
man,3694
la_,3661
kar,3524
kek,3495
aka,3456
g_d,3418
g_b,3416
a_n,3277
ari,3207
_ya,3162
g_p,3148
eka,3134
a_i,3051
n_a,3010
ku_,2978
ya_,2926
g_l,2871
_me,2789
_an,2739
a_m,2733
u_k,2703
ata,2651
_mi,2646
nak,2598
ina,2582
ama,2558
apa,2554
rin,2530
aku,2490
n_n,2479
n_k,2459
a_d,2456
nga,2442
_mu,2405
t_k,2376
_ku,2376
kea,2374
pan,2365
gan,2357
t_i,2345
aya,2268
tan,2254
n_m,2168
g_i,2162
gui,2149
tun,2109
abi,2058
ka_,2045
ad_,2027
ara,2013
inu,2004
u_a,1997
g_s,1932
ban,1886
yan,1860
_si,1857
_sa,1839
ali,1826
_i_,1816
t_m,1787
ak_,1782
ean,1767
anu,1734
kap,1718
g_t,1712
asa,1693
uli,1686
g_g,1640
_ta,1632
mu_,1628
bal,1626
ti_,1607
uin,1589
mak,1586
lin,1579
aki,1566
ani,1548
i_n,1539
nu_,1538
_e_,1471
pat,1469
abu,1442
kun,1432
n_d,1394
_al,1388
met,1386
e_k,1386
agu,1339
os_,1335
i_k,1334
kal,1325
mat,1324
_gu,1323
u_i,1317
etu,1311
ela,1311
ita,1297
lak,1281
aba,1269
iba,1266
i_a,1255
ila,1253
kak,1250
t_d,1250
ios,1248
awa,1239
sin,1239
dio,1233
ong,1217
_ul,1217
lal,1216
yu_,1209
li_,1201
lab,1188
ula,1181
ua_,1167
in_,1163
uan,1155
pam,1151
ati,1144
_je,1143
as_,1140
it_,1122
are,1120
ian,1108
san,1107
a_p,1107
bi_,1097
atu,1087
alu,1086
ili,1067
pa_,1061
ini,1035
kay,1034
ta_,1027
sal,1024
_pi,1021
eho,1020
hov,1015
ova,1014
jeh,1012
ayu,1002
rel,999
n_i,998
ne_,994
va_,986
kat,984
da_,978
ngg,976
i_m,971
_pe,966
e_n,964
ni_,962
e_i,962
_ne,961
nab,956
_li,951
_ga,946
t_a,943
nun,940
gga,938
ika,934
_de,926
_it,925
ami,920
dal,919
g_j,915
a_l,915
_bi,911
mal,906
eng,905
nal,900
nua,896
mag,896
ulu,896
s_a,890
_tu,887
bat,877
a_b,866
iti,865
u_n,858
_nu,851
al_,848
t_s,846
ant,846
ra_,832
kas,828
us_,811
u_m,808
tin,802
tul,800
bua,794
wan,788
n_y,788
e_a,784
s_k,784
t_n,780
bun,776
utu,775
d_a,768
g_n,765
k_n,764
un_,763
uad,762
t_p,757
kon,755
ran,742
dap,739
ipa,738
am_,735
_ra,725
bab,724
tal,724
pak,724
_ib,723
i_i,721
tas,711
l_k,706
ul_,704
ie_,695
_mo,695
l_a,688
kam,679
_lu,677
g_e,675
ea_,671
ki_,664
uk_,662
kit,656
aga,654
lig,653
a_s,651
nti,649
_ik,637
amu,635
iu_,632
_is,629
min,627
ald,627
e_m,620
ri_,619
bin,617
nit,608
api,607
s_n,599
ilu,587
_bu,587
wa_,586
_ar,586
lag,586
_pu,583
do_,583
gam,583
k_a,582
_ng,581
_ti,580
mar,579
el_,579
ira,577
lun,577
eni,577
ut_,577
a_y,575
a_t,566
eko,561
o_a,559
uku,559
pas,556
_as,550
oh_,548
_oh,547
mun,545
ga_,542
uma,541
lu_,538
isa,534
i_j,534
g_u,531
lug,528
nia,527
bil,526
epa,526
ntu,525
au_,521
me_,518
pin,517
_yu,517
kil,513
kab,513
on_,513
sab,512
ldo,511
ale,510
o_k,508
e_y,501
le_,490
kut,488
tau,488
ug_,486
upa,480
wak,478
tad,477
iki,475
lam,473
rap,470
dan,464
num,462
_il,459
gat,458
nge,458
d_k,457
muk,457
ai_,456
_ab,456
mab,455
ko_,454
lay,453
pus,453
apu,447
sa_,446
lib,445
kul,445
t_l,444
las,443
ibu,440
ot_,439
m_a,436
asi,434
bie,434
gal,429
ael,426
kad,426
_no,425
pag,424
adu,418
g_c,416
uta,416
o_d,414
lua,413
iwa,412
mam,412
dua,410
ap_,410
dak,410
ngi,409
pil,409
k_k,409
gen,409
apo,403
d_n,403
mi_,401
mil,398
lat,398
mo_,394
be_,393
rae,392
n_p,390
isr,389
sra,389
pot,388
t_y,388
id_,386
ram,386
t_t,386
_ko,385
mul,385
men,383
usu,383
bus,382
bai,378
lit,377
_wa,376
gul,375
pep,374
o_n,373
u_d,371
abe,371
_ak,370
nat,369
u_p,368
lub,367
nuk,367
n_l,366
t_b,363
a_u,363
mit,363
sta,363
uri,362
mpa,361
nam,361
pul,360
nib,360
ain,360
usa,358
tiu,358
nya,358
a_e,357
iga,357
gta,355
bla,355
_su,355
pab,352
pit,351
ke_,349
o_i,348
s_m,347
yap,346
no_,344
mib,344
lik,343
itu,342
i_y,342
igt,340
tus,340
g_y,339
ub_,339
ibi,338
dam,338
ndu,338
uiu,336
sak,336
_am,336
lul,334
pal,333
abl,332
i_d,331
bay,330
tua,326
bul,323
su_,322
tak,322
uka,321
ria,321
may,319
una,319
kna,318
i_r,317
mik,317
_be,317
il_,316
and,316
is_,314
te_,314
bia,311
ubu,309
iny,309
i_l,307
t_e,303
par,303
ukn,302
nen,302
um_,300
tat,297
yar,297
but,297
i_g,297
ken,295
gue,295
ud_,295
bpa,294
ibp,294
mda,293
det,292
_ip,292
asu,291
luk,291
dik,289
tuk,288
eti,287
_ja,287
bak,286
ngu,285
pek,282
_ag,281
mon,281
buk,280
ngk,279
ipu,278
rag,276
e_l,274
es_,274
a_o,274
tu_,273
gka,272
aun,271
ust,271
tut,268
wal,267
gpa,266
s_i,265
raw,265
ewa,265
pur,263
unt,263
lad,261
mua,260
tam,260
agp,260
_jo,259
se_,258
uda,257
ose,257
mip,256
bag,255
nap,253
und,251
sik,251
sbu,251
u_l,249
int,247
mis,247
l_n,247
yun,247
s_d,247
pun,246
asb,246
_ca,245
i_p,244
amd,243
lya,243
_se,242
aco,241
ima,240
yat,240
ob_,240
ag_,240
_ap,240
ik_,239
saw,238
to_,238
u_b,238
d_m,238
_du,237
sar,236
sam,233
a_r,233
cob,233
jac,233
uyu,231
n_b,230
m_k,228
yab,228
duk,228
o_m,227
agk,226
mas,224
lid,223
ue_,221
i_e,221
eta,221
nie,217
dar,217
dad,216
h_j,216
nau,216
ba_,216
_oi,215
mek,214
dia,213
ben,213
gsa,212
gab,211
bra,210
oin,210
ake,210
lap,210
_le,209
d_d,209
mig,207
abr,207
up_,206
i_b,206
liw,205
ual,205
pay,204
til,204
u_y,204
_ye,203
map,202
isi,202
sum,202
p_a,202
iab,201
gku,201
de_,200
i_s,199
aus,198
iku,197
u_s,197
ndi,197
n_s,197
_ci,195
kaw,194
kai,194
umu,194
ciu,193
iud,192
b_a,191
abo,190
ipi,190
ye_,189
rak,188
jos,187
u_u,186
sip,186
apt,186
pta,186
egi,184
_eg,184
bo_,183
ura,183
ket,183
aha,183
k_d,183
amb,183
gip,181
ca_,181
non,180
n_u,180
amp,178
mel,178
s_y,177
ine,177
uba,177
ako,176
_ad,176
ipt,176
pto,175
ena,175
tag,175
pai,175
kir,175
sia,174
e_p,174
lip,173
dew,173
kua,173
u_o,173
n_e,173
lut,172
ugu,172
e_r,171
gin,170
sas,170
ags,170
nas,168
bis,168
uru,168
a_g,168
bu_,167
uga,167
m_n,167
sau,167
day,167
eki,167
ham,166
nsa,165
ses,165
egu,165
gay,165
ans,165
tip,164
mir,164
naw,163
e_d,163
ia_,163
en_,163
ril,162
nil,162
p_k,162
suk,161
tup,161
era,161
ate,160
k_y,159
gar,159
r_a,158
k_m,158
_o_,158
ral,158
n_t,157
tap,157
