ngram,frequency
an_,14682
ay_,8792
_na,6591
_sa,6133
_ka,5305
_ta,5298
_si,4913
_ma,4853
_a_,4580
na_,4474
tan,4463
en_,4194
_to,4157
ed_,3953
_ed,3935
ara,3754
ray,3733
ang,3710
d_s,3594
n_a,3537
_pa,3443
to_,3287
man,3177
_la,2912
ana,2867
_di,2799
ad_,2691
awa,2669
on_,2646
nen,2633
ala,2578
a_a,2552
a_s,2528
_in,2520
n_s,2496
ika,2477
ak_,2465
n_n,2381
n_t,2347
_ya,2332
_da,2331
_so,2318
sar,2293
so_,2284
_an,2272
ya_,2267
et_,2256
pan,2217
a_t,2156
ata,2151
n_m,2146
sik,2135
ng_,2135
nan,2060
aka,2046
in_,2016
_ag,2000
kat,1972
y_a,1931
say,1880
aga,1859
oy_,1841
ali,1822
ey_,1811
ama,1803
ag_,1800
_ra,1795
a_n,1726
a_k,1725
nga,1715
ta_,1705
o_a,1681
_ba,1680
ra_,1676
aba,1647
yo_,1631
n_i,1616
a_m,1612
lan,1612
aya,1542
ira,1528
yan,1516
_ne,1474
bal,1431
ina,1412
_ko,1400
gan,1389
n_k,1387
at_,1379
o_t,1376
n_d,1376
_am,1375
ayo,1363
y_k,1327
wan,1308
a_i,1306
kay,1306
da_,1304
san,1294
a_p,1284
ngg,1264
asa,1261
ami,1255
apa,1253
sia,1240
_ir,1237
eng,1223
_on,1197
_ak,1197
y_t,1193
dia,1185
o_n,1183
o_s,1165
ale,1144
dio,1143
ari,1137
_mo,1137
gga,1137
si_,1135
too,1132
os_,1115
od_,1111
taw,1110
kan,1105
_im,1103
a_d,1096
no_,1088
_pi,1083
_yo,1074
y_m,1059
ant,1057
iad,1052
mpa,1049
_ni,1046
inm,1014
n_p,1010
may,1009
ato,1005
la_,999
sal,996
a_l,994
y_p,984
kar,983
ios,979
ita,975
a_r,969
lay,966
ila,966
n_e,954
kas,947
_no,947
sak,946
lin,912
y_s,892
n_y,889
y_d,888
_li,875
ake,874
min,869
n_l,868
d_k,867
ing,855
y_i,853
ran,853
o_k,844
ton,836
aki,835
y_n,828
_mi,823
nto,820
aan,815
_bi,803
ga_,801
_ar,796
ane,788
iba,779
el_,778
g_n,771
mo_,769
ipa,760
_et,758
nak,758
ung,755
bat,753
ia_,750
a_b,749
ko_,749
d_a,749
sin,743
kin,743
bag,742
o_m,740
lap,735
o_i,735
lo_,734
abi,732
nsa,732
uan,731
gaw,731
apu,731
ka_,731
wa_,729
ian,724
asi,721
eg_,718
ngi,717
us_,713
t_a,709
ud_,709
nya,707
lab,705
imp,704
_ki,703
_wa,697
kab,687
ban,686
pud,679
tay,673
_je,672
d_p,667
kua,666
t_s,663
wal,662
key,657
ew_,650
age,649
er_,646
lit,646
mi_,644
and,643
_ti,642
y_b,640
o_p,634
oto,633
o_l,633
oo_,632
kam,630
o_r,629
t_n,627
mak,626
apo,626
n_b,626
ine,625
tot,625
ulo,621
toy,621
let,620
am_,617
g_t,617
nag,617
y_l,616
nma,615
ar_,608
lak,606
isi,602
g_a,600
_ga,596
lon,594
ink,591
sus,586
as_,584
_ab,575
_is,572
pat,571
tin,565
a_e,561
iak,557
bil,556
ong,552
alo,548
nge,547
dan,541
o_e,537
par,535
liw,533
mba,533
ate,532
i_a,526
amp,523
kap,521
met,520
ins,518
ro_,518
esu,517
nta,514
a_y,512
jes,511
sam,510
lal,506
pas,501
a_o,499
ani,499
n_j,499
any,496
_he,492
ima,491
_me,487
_al,484
mam,480
nla,480
anl,479
nka,479
ma_,478
epe,476
g_k,474
ans,474
bay,472
int,472
o_d,472
nat,470
ri_,468
al_,464
n_o,463
naa,462
k_n,461
ili,460
nku,460
gat,458
d_t,457
iri,456
yar,454
s_a,452
i_t,451
dal,448
pin,446
ank,444
ngn,442
o_y,438
gal,436
es_,436
lam,432
gne,431
nay,429
gar,426
pal,422
tal,420
ano,420
ter,420
i_s,419
aen,418
ist,413
tey,411
imb,411
g_m,409
pam,409
hen,407
s_t,407
kak,406
k_a,405
ona,405
d_d,405
dad,401
t_i,400
pak,397
i_n,396
nam,396
r_e,392
g_e,392
k_e,391
naw,389
id_,388
mat,385
mal,384
y_e,383
nda,381
nep,381
_ib,378
gap,377
ley,377
k_t,377
sto,377
rin,375
iwa,374
d_i,373
g_y,367
yon,357
nsi,355
paa,354
t_t,354
tak,350
nun,350
nap,350
lik,349
tod,349
s_s,348
poy,346
yam,343
ont,342
s_e,342
gay,340
ris,339
pap,338
nti,336
kal,335
ki_,334
aro,333
bab,331
lad,330
t_e,330
rad,329
ame,329
o_b,329
nis,329
d_b,328
_as,328
g_s,328
_ju,327
iy_,325
sio,324
eba,323
_ap,322
_ku,321
ase,321
gew,321
d_m,321
li_,321
ino,316
onu,315
o_o,315
_bo,314
ndo,311
peg,311
ndi,310
s_n,307
_it,306
gel,305
sen,304
leg,301
sa_,299
non,298
_be,297
pia,295
ite,293
io_,292
gag,291
oon,291
ula,289
isa,289
mar,287
nal,286
k_s,286
ole,284
awi,284
y_o,282
lat,282
iga,282
mun,280
il_,279
amt,279
mta,278
day,278
gip,276
g_i,276
gen,275
sip,275
amb,273
rap,273
pir,272
g_d,271
d_n,271
um_,270
bin,269
m_a,268
plo,267
l_n,262
ap_,262
jud,262
ba_,261
nip,260
_tu,259
sir,259
l_t,259
din,259
abu,258
lag,258
mab,258
ria,257
bun,257
_pe,256
o_1,255
lib,252
aru,252
mon,252
ael,252
usa,252
i_m,252
em_,251
y_y,251
r_n,250
a_g,250
yoy,249
di_,249
itu,248
ini,248
ni_,247
_ip,246
kel,244
d_l,244
kaa,242
ot_,242
ron,241
aon,241
i_e,241
t_m,240
way,239
i_j,239
gey,239
eli,239
y_g,238
asu,238
gin,237
_du,237
_jo,236
aak,236
pen,236
rit,236
_gi,234
i_l,234
mas,233
dua,233
lim,231
bak,231
kai,230
omp,229
tag,229
nme,229
pet,227
rae,227
yod,227
rum,225
tul,225
opa,224
loy,224
it_,223
pa_,223
pul,221
spi,220
anu,220
sra,220
aye,219
i_r,218
mpl,217
sum,217
t_d,215
era,215
law,215
wae,215
ike,214
uk_,214
wag,213
_om,212
ump,212
n_g,212
uda,211
_su,211
bii,210
ola,209
ben,209
wen,208
ral,207
ati,207
_ng,207
pab,206
alu,205
nin,205
nas,205
nab,204
isp,204
or_,203
_lo,203
w_a,203
iop,202
s_i,202
l_a,201
nia,200
l_e,199
ere,199
t_k,198
sab,197
ipe,197
aw_,196
pag,196
o_2,195
i_p,195
isr,195
nar,194
y_j,194
mau,193
i_k,192
aun,192
are,192
kon,191
bol,191
gad,191
agi,191
ut_,191
nao,190
un_,190
l_s,190
kom,189
cri,189
i_i,188
m_e,188
ako,188
ur_,188
kod,188
bra,187
lem,186
aha,186
pik,184
awe,184
iw_,183
iro,182
a_w,182
nad,182
w_n,182
pay,181
paw,181
r_t,181
om_,181
abr,180
ise,180
dil,180
saw,180
ela,179
yay,179
mil,178
yag,178
nil,178
ham,177
is_,177
und,177
len,176
gle,175
olu,174
ek_,174
eo_,174
las,174
uar,173
map,173
pit,171
n_h,171
ond,171
iya,170
ok_,170
bi_,170
tu_,170
ob_,168
men,168
sul,168
_o_,168
ol_,167
ses,167
onl,167
meb,167
_pr,167
gib,166
oan,166
ons,166
udi,166
n_w,164
po_,164
oga,163
egl,163
gi_,163
ket,162
ilo,162
k_i,162
r_a,162
amu,162
mpi,161
dis,161
_de,161
m_t,161
ten,160
ngk,160
rah,160
pon,160
oma,160
sas,159
nmo,159
k_y,159
k_k,158
wad,157
s_d,157
aib,156
_pu,156
k_l,156
iny,156
gam,155
a_1,154
ibi,154
rip,154
kao,154
tat,153
aar,153
_cr,153
bya,153
ep_,153
t_y,152
do_,152
r_s,152
aby,151
ora,151
a_j,151
lus,151
abl,150
ega,150
aay,148
a_2,147
ias,147
ik_,147
m_n,145
ti_,145
aab,145
_ay,145
kad,145
ig_,145
ime,145
rus,144
_od,144
t_l,144
sim,143
moi,143
olo,143
waa,143
_le,143
og_,142
omu,142
gak,142
agm,142
jer,142
ipu,142
m_s,141
d_j,140
k_m,140
lis,140
sil,140
aog,139
ele,139
s_y,138
mag,138
wil,138
gma,138
bis,137
gas,137
der,137
ksa,136
uno,136
bul,136
abe,135
i_y,135
dim,135
ape,135
ito,135
ain,135
tol,135
buk,134
kaw,134
_at,134
maa,133
aol,133
tap,133
meg,132
o_3,132
opi,132
g_l,132
d_g,132
ois,131
bir,129
pil,129
nli,129
bas,129
oli,129
laa,128
aam,128
siu,128
ada,127
ion,127
odi,127
ii_,127
ind,127
n_1,127
nte,127
akb,126
_tr,126
atl,126
log,126
i_d,125
_iy,125
ota,125
kag,125
yna,124
isk,124
uko,124
kol,124
l_d,124
tir,124
iud,124
rak,124
eta,123
yak,123
mbu,123
im_,123
k_d,123
ner,123
ngo,122
ram,122
igl,122
uma,122
m_i,122
dro,122
omb,122
mad,121
was,121
s_k,121
p_n,121
ped,121
eka,121
dak,121
pis,121
ipo,120
koy,120
ker,120
mpo,120
l_i,119
ngu,119
_el,119
_po,119
o_g,119
aal,119
ren,119
_bu,119
dor,118
wat,118
tim,118
_il,118
bib,118
arn,118
num,117
tda,117
kot,117
n_r,117
edr,117
gli,117
not,116
don,116
a_h,116
oob,116
ab_,116
blo,116
big,116
r_k,116
tla,116
mbi,115
_ha,115
ago,115
eru,114
l_k,114
moy,114
ood,114
o_w,114
rta,114
ske,113
itd,113
tar,113
keg,112
ber,112
_ol,112
oni,112
git,112
_ke,111
_aa,111
oro,111
tao,111
rew,110
air,110
adn,110
mis,110
sat,109
kba,109
pig,109
gul,109
pai,108
kim,107
nek,107
ena,107
_ro,107
ges,107
dng,107
lya,106
tua,106
_ig,106
l_m,106
ony,106
riy,106
_11,106
_mu,106
til,105
nom,105
wit,105
_te,105
api,105
i_b,105
mpu,105
rna,105
yew,104
ua_,104
y_h,104
d_o,104
nur,104
mey,104
tik,104
lil,103
_se,103
t_p,103
gaa,102
_th,102
lig,102
amo,101
n_c,101
d_e,101
ete,100
den,99
n_2,99
w_t,99
s_l,99
ul_,99
pad,98
s_m,98
nib,98
ea_,98
kit,98
pro,98
lek,97
kla,97
lda,96
gon,96
l_y,96
yep,96
ayn,95
tri,95
_eg,94
ool,94
aks,94
u_s,94
ile,94
atw,94
wak,94
twa,94
kum,94
k_p,94
tom,93
tam,93
nde,92
ibr,92
_1_,92
the,92
kur,91
mid,91
iti,91
sis,91
ibo,91
maw,91
bro,91
_s_,91
art,91
_2_,91
gka,91
kau,91
he_,90
noy,90
mai,90
erm,90
ono,90
dir,90
owa,90
r_m,90
iin,89
lsa,89
oka,89
upa,89
rom,89
ah_,89
w_i,89
son,88
ger,88
mao,88
gku,88
r_d,88
mod,88
s_p,88
gge,88
ken,87
rod,87
ann,87
ibe,87
loo,87
aso,87
atu,86
iay,86
ost,86
als,86
auk,86
pos,86
rya,86
lup,86
ary,86
_3_,85
taa,85
nir,84
_kr,84
ily,83
_lu,82
ado,82
tit,82
lid,82
aat,82
omo,82
_12,82
a_3,82
s_1,81
rop,81
tok,81
egi,81
nol,81
lom,81
lut,81
ras,81
_4_,81
_10,81
_og,80
tor,80
ura,80
ipi,80
_13,80
_ik,80
yat,80
ene,80
agp,80
sol,80
w_k,80
go_,80
ste,79
kil,79
irt,79
eya,79
gig,79
siy,79
ord,78
kri,78
bet,78
_es,78
tep,78
imo,78
obu,78
dom,77
gsa,77
t_o,77
sta,77
ai_,77
alt,77
sae,77
ir_,77
kor,77
akl,77
kta,77
_5_,76
11_,76
_9_,76
i_o,76
tad,76
lta,76
rio,76
kul,76
oge,76
reo,76
_15,75
yah,75
raa,75
_ge,75
10_,75
ebe,75
12_,75
_14,75
bok,75
nit,75
nai,74
waw,74
w_s,74
_aw,74
dus,74
tab,74
13_,74
poo,73
g_o,73
yen,73
rme,73
inu,73
gil,72
_6_,72
r_y,72
_re,72
m_d,72
mia,72
tip,72
niy,71
ori,71
luk,71
_16,71
14_,70
bu_,70
ais,70
igo,70
15_,70
_7_,70
w_e,70
_8_,70
nki,70
ibu,69
lor,69
iks,69
bo_,69
ewe,69
ida,69
m_y,68
alm,68
ntu,68
gto,68
l_l,68
u_n,68
uir,67
_ca,67
e_s,67
18_,67
mor,67
_17,67
pui,67
17_,67
put,66
mik,66
run,66
mla,66
r_i,66
jos,66
adi,66
ngt,66
ip_,66
wam,66
_21,66
16_,65
jua,65
bel,65
rib,65
kid,65
_19,65
d_c,65
les,65
doa,65
baw,65
_t_,65
osi,65
_20,65
_ad,64
_18,64
pol,64
m_k,64
nmi,64
end,64
ald,64
abo,64
miy,64
19_,64
o_4,64
kie,64
rar,64
seb,64
ebr,63
eke,63
bre,63
gpa,63
geg,63
oku,63
iki,63
heb,63
p_e,63
n_3,63
pri,62
oor,62
apl,62
biy,62
get,62
_22,62
s_2,62
20_,62
ngh,62
p_t,62
dag,61
sya,61
pel,61
iel,61
_k_,61
saa,61
21_,61
_hi,60
kep,60
rni,60
upu,60
pup,60
_do,60
uay,60
iit,60
s_o,60
_23,59
tun,59
pla,59
pew,59
_ri,59
per,59
w_y,59
npa,58
kia,58
oke,58
ndu,58
23_,58
een,58
uy_,58
ree,58
_eb,57
_26,57
ote,57
rbi,57
yos,57
pus,57
_24,57
esa,57
uso,57
irb,57
tae,56
aim,56
lar,56
tas,56
rda,56
kis,56
be_,56
tro,56
k_h,56
lot,56
_or,55
b_a,55
22_,55
24_,55
t_w,55
b_n,55
eye,55
