ngram,frequency
_de,6339
_y_,4954
de_,4595
os_,4302
el_,4014
_la,3302
_el,3212
ra_,2919
as_,2913
la_,2779
es_,2670
que,2582
_se,2465
_en,2441
ue_,2344
_qu,2322
on_,2115
do_,2106
en_,2066
_co,2064
s_d,1976
_su,1956
e_l,1818
_di,1803
_es,1750
or_,1716
_pa,1678
te_,1652
_a_,1652
re_,1634
a_d,1631
o_d,1613
_lo,1609
e_e,1570
e_d,1527
ara,1517
los,1504
ent,1491
no_,1427
da_,1374
o_e,1351
est,1305
_po,1295
e_s,1287
_un,1285
a_e,1241
o_y,1230
_ha,1219
ier,1191
su_,1175
ijo,1156
par,1141
o_a,1135
_to,1130
se_,1122
a_s,1117
end,1117
a_t,1109
to_,1087
ien,1064
s_y,1037
l_s,1036
_hi,1032
ado,1032
del,1032
a_l,1028
_al,1009
an_,997
con,979
_ca,972
_no,970
n_e,963
y_e,955
lo_,950
a_c,950
a_y,949
_ti,941
jo_,936
nto,924
_si,916
por,909
ro_,907
_sa,893
era,891
n_l,889
eno,886
_ma,881
bre,870
s_e,866
a_p,855
sta,851
o_s,851
na_,842
ero,840
nte,829
ta_,828
e_a,826
ndo,822
s_h,820
o_p,819
_cu,819
ar_,809
s_p,808
sen,800
e_t,799
tie,799
_mi,799
er_,799
las,798
ron,793
io_,775
a_m,768
s_s,765
ant,763
y_l,760
un_,749
ia_,747
_tu,743
us_,741
hij,738
nor,723
s_c,717
_so,692
e_h,691
a_q,687
_le,683
tod,677
ano,676
al_,672
jos,662
dos,656
_pe,639
dij,636
mo_,630
o_l,629
_pu,624
_te,622
a_a,620
y_s,615
nda,611
s_a,610
des,604
sus,602
n_s,593
man,588
_vi,586
and,585
e_c,578
_re,575
o_c,573
dio,569
e_p,568
err,558
l_p,558
ada,557
cer,557
pue,556
s_l,556
_he,556
una,548
ace,545
cua,544
com,541
ion,540
uer,531
rra,531
ran,528
nos,528
ser,521
ras,518
e_y,510
r_e,509
r_d,503
o_q,501
odo,498
tu_,492
ren,489
ell,488
y_d,480
res,480
cio,475
ten,474
fre,469
tar,465
omo,462
mbr,461
o_t,461
ofr,453
e_m,451
_an,450
_ve,449
n_d,448
n_a,442
a_o,442
omb,433
nce,432
ces,431
_of,431
sa_,431
obr,427
_fu,424
_me,417
si_,417
qui,416
mi_,416
nta,413
le_,412
tra,411
ene,409
per,406
fue,405
das,403
aba,396
lla,392
sob,390
y_a,388
l_c,388
tom,386
onc,385
n_y,383
o_h,382
l_a,382
ana,380
_ho,377
y_t,377
cie,373
dad,372
aro,372
go_,371
ios,369
r_y,367
esp,365
san,365
s_q,365
men,364
ntr,358
bra,357
dre,352
tro,350
n_c,350
l_d,350
sie,348
_mu,347
aci,346
_da,346
llo,346
ida,346
_pr,346
ert,345
erd,342
ton,341
s_m,338
gra,336
ste,335
so_,334
_lu,333
abr,331
s_t,330
n_t,326
erm,326
ede,325
cad,319
e_v,319
adr,319
_do,319
u_p,317
_mo,314
r_l,314
nes,314
e_u,312
a_h,308
r_s,306
_ci,303
dia,302
pad,302
n_p,301
hom,301
e_q,300
cho,300
e_n,300
rdo,300
y_c,297
ici,296
_be,296
_gr,293
are,293
rte,291
o_m,291
sto,290
oma,289
sac,289
s_o,288
rqu,285
ela,281
gar,281
ner,281
oda,280
uan,280
_is,279
tre,277
_ll,276
orq,274
a_u,273
ido,273
les,273
_ab,272
lan,270
mar,269
_or,268
ino,268
cor,268
abi,268
her,268
ebe,266
ues,266
deb,266
mad,265
rec,264
n_h,263
asa,261
e_i,260
me_,256
pec,255
tos,254
a_n,252
o_u,250
ord,249
uie,248
jer,248
den,248
rde,247
pon,246
rma,244
y_p,243
hab,242
tab,242
s_v,242
l_m,241
eci,241
cas,241
_tr,241
ont,240
ote,240
ho_,239
ha_,239
dra,238
ros,237
one,237
ses,236
dot,236
ere,235
ora,234
pie,233
r_a,233
a_v,232
mis,231
_va,230
l_h,229
ech,229
_o_,228
o_n,227
vo_,227
l_e,226
ual,225
ued,225
cia,224
_ac,224
eca,223
ura,222
uen,222
ban,220
lle,220
am_,220
otr,220
cam,219
uga,218
ad_,218
aco,218
_ja,218
ema,217
ma_,217
gua,217
ise,215
car,215
ose,213
tas,213
lug,213
ame,211
a_b,211
art,210
nad,208
nde,208
dar,208
ca_,207
l_l,207
str,206
ndr,206
can,205
cue,203
ne_,203
dic,203
rta,203
u_c,202
ias,202
_jo,200
bia,200
ael,200
tes,199
uem,199
alt,198
_pi,198
osa,198
hac,197
r_c,196
lta,195
ce_,195
yo_,194
e_o,193
nci,193
l_y,193
e_r,192
has,192
po_,192
der,192
_li,190
ba_,189
_in,189
mas,188
vie,187
uel,187
zo_,185
r_p,185
_ta,185
eni,184
u_h,184
s_n,183
n_m,183
ete,182
co_,182
n_u,182
_na,181
_er,180
_ag,180
jac,180
_ro,180
ois,180
ast,179
ob_,179
moi,179
ond,179
_fa,179
rae,179
cob,179
inc,178
mos,176
l_n,176
ben,175
esc,175
rio,175
ime,175
_ni,174
sra,174
uje,173
ina,173
isr,173
_yo,173
tad,173
pos,172
ita,172
lev,172
_nu,171
ver,171
esa,170
ea_,168
in_,168
ven,168
muj,168
_ar,167
rad,167
_ba,167
son,166
_ju,166
a_g,165
_us,165
pro,164
mie,163
a_r,163
ort,162
eda,162
erv,162
_as,162
o_v,161
ali,161
sti,161
eva,161
ndi,160
uni,160
vio,160
ija,159
eja,159
s_r,159
ome,159
ena,158
u_m,158
o_o,158
ego,158
ece,157
sea,155
ira,155
ill,155
y_m,155
be_,154
cos,154
izo,153
hiz,153
bie,153
ale,152
e_b,152
_ot,152
gan,152
tan,152
is_,151
s_u,151
ram,151
ueb,151
e_f,151
gun,150
nas,149
har,149
a_f,149
aqu,148
lim,148
agu,146
ama,146
pus,146
ang,146
enc,145
nti,145
viv,145
gre,144
s_b,144
u_d,144
ham,144
mer,144
blo,143
mal,143
nvi,143
ebl,142
i_e,142
ust,141
rca,141
aar,141
_aa,141
imp,140
ism,140
uar,140
olo,139
lab,139
int,139
aha,139
cab,139
ir_,138
spu,138
i_s,137
ja_,136
y_h,136
baj,136
r_t,136
ami,136
abe,135
ard,134
tus,134
die,134
emo,134
ade,134
pre,133
ga_,133
e_j,133
hor,133
i_y,133
lad,132
_ah,132
y_n,132
cin,132
he_,132
uso,131
hec,131
sal,131
sas,131
s_f,131
rti,130
ala,130
lor,130
nac,130
var,128
nom,128
za_,128
i_p,128
igo,127
aho,127
und,127
a_i,127
lqu,126
ist,126
alq,125
oy_,125
ti_,125
u_s,125
rah,125
mpo,125
vin,125
oso,124
oro,124
mue,124
elo,124
l_t,124
cto,124
egi,123
rda,123
asi,123
ve_,122
via,122
rop,122
sar,122
all,121
gen,120
env,120
dor,120
pri,119
ojo,119
ata,118
ian,118
ari,117
ted,117
_bu,117
gip,116
cha,116
_eg,116
rvo,116
ter,116
iet,116
e_g,115
n_n,115
eng,115
rar,115
nin,115
jas,115
imi,114
nia,114
nga,114
pur,114
nue,114
dej,113
erc,113
ejo,113
amp,113
eza,113
n_q,112
arc,112
edo,112
cen,112
iel,112
pal,111
ua_,111
ivi,110
ngr,110
aga,110
eri,110
alg,110
tuv,110
az_,109
sin,109
r_q,109
_fi,108
bes,108
uda,107
l_o,107
rto,107
r_u,107
ubi,106
dur,106
nio,106
don,105
amo,105
_ra,105
a_j,104
omi,104
reu,104
hay,103
