ngram,frequency
ng_,18565
ang,12284
_sa,7663
sa_,7123
_na,6894
_ka,6010
_an,5917
at_,5075
_ng,4668
an_,4582
_ma,4317
_si,4146
_pa,3960
_at,3894
a_a,3766
g_m,3763
ala,3572
a_s,3406
_ni,3380
a_n,3363
ya_,3252
ga_,3232
ina,3028
a_k,3023
na_,2987
mga,2679
_mg,2679
ay_,2592
ila,2465
ing,2407
la_,2395
n_n,2372
iya,2354
in_,2316
ong,2266
ama,2223
kan,2155
o_a,2103
lan,2018
a_i,1957
n_a,1905
g_k,1901
yo_,1886
g_a,1875
g_p,1811
a_p,1804
apa,1777
g_n,1770
pag,1769
ata,1754
a_m,1743
g_i,1723
asa,1688
to_,1680
sin,1666
o_s,1665
g_s,1627
ana,1620
aka,1608
aha,1555
nag,1550
abi,1535
aga,1535
nan,1534
aki,1519
o_n,1506
ali,1486
_ba,1477
kay,1469
man,1464
on_,1457
n_s,1455
nga,1449
uma,1427
aya,1426
t_n,1417
ara,1402
ito,1402
yan,1398
nya,1391
hin,1379
_ta,1368
i_n,1355
t_s,1347
awa,1338
any,1332
yon,1319
nil,1294
siy,1265
iyo,1258
mag,1253
_la,1235
pan,1225
ari,1225
nyo,1210
bi_,1198
it_,1169
_it,1136
sus,1134
us_,1127
nak,1114
_je,1112
ta_,1110
ni_,1107
gan,1101
_ak,1100
ko_,1098
di_,1091
esu,1083
i_j,1083
_hi,1081
g_t,1079
_in,1079
iny,1078
tin,1063
ayo,1052
ndi,1038
jes,1036
g_b,1035
aba,987
niy,977
ini,974
_di,972
ami,971
han,960
san,951
as_,940
gka,940
gin,934
ita,933
pin,933
nab,931
ind,931
nam,928
ung,925
g_l,923
ani,923
ati,902
a_t,893
a_b,884
agk,880
_iy,862
_da,844
kin,829
isa,818
tan,816
_mo,812
_ku,808
_is,807
s_n,802
wal,799
s_a,793
i_s,787
nin,786
g_d,786
si_,784
kat,784
ngi,783
_pi,779
may,770
par,768
min,767
mo_,764
a_l,731
_ko,710
sil,692
kun,692
pat,691
t_m,689
aan,689
_ha,677
gay,676
ag_,674
mat,669
n_k,669
wa_,669
os_,668
ako,662
y_n,662
lin,655
_bu,652
ula,650
oon,649
t_a,646
lag,645
kas,644
_am,641
g_h,612
nas,611
ak_,610
o_k,609
_ga,609
ili,609
ad_,608
gal,605
tao,605
_pu,604
nit,604
hat,602
ban,601
agp,601
n_m,598
s_s,598
ma_,597
i_a,590
_tu,588
mak,580
agi,565
ahi,558
a_h,555
t_p,554
sal,550
_lu,550
kap,548
aw_,547
ra_,546
gpa,541
o_m,539
kit,535
mal,526
a_d,523
sab,521
ro_,520
_su,517
ig_,517
_al,513
ibi,511
_ti,500
ka_,498
i_k,498
no_,494
hay,489
tay,487
dal,480
lah,480
bin,480
ot_,479
t_i,477
pa_,474
_ay,471
nap,467
_mu,467
o_p,464
inu,462
ino,462
lam,462
kam,461
mar,456
_wa,449
ao_,448
kal,438
rin,435
ngu,430
ngg,427
diy,427
mul,425
ags,424
sum,421
ano,418
sam,418
g_g,418
nal,416
_ip,416
ago,413
al_,409
yos,408
uha,408
uni,407
ap_,406
big,405
uwa,405
