ngram,frequency
an_,5363
nga,4209
_sa,4015
_ng,4005
ga_,3047
sa_,2619
_na,2100
on_,1919
_ka,1906
_si,1797
_an,1700
a_n,1516
gan,1480
_ma,1480
ya_,1433
iya,1373
a_i,1349
n_n,1330
san,1329
a_s,1275
ay_,1205
kon,1166
n_s,1146
_pa,1130
a_a,1092
nag,1071
gad,1048
_iy,1032
o_s,1020
_di,1011
o_n,1006
n_a,983
ako,973
_ak,945
a_k,910
a_m,880
mga,861
_mg,859
n_k,812
ara,788
ra_,769
to_,764
ang,758
uga,747
n_m,733
gin,728
_ko,720
n_i,696
ad_,663
aka,647
dto,645
pag,636
sug,634
ata,626
sin,604
ira,581
od_,580
adt,571
a_p,565
ama,565
mo_,558
ng_,551
siy,548
i_s,541
ana,534
kam,531
ko_,526
iri,518
d_s,511
i_n,509
ton,501
ina,497
in_,497
_gi,490
ri_,481
tan,475
di_,455
d_n,453
n_p,450
ala,450
ags,443
nan,443
dir,442
at_,440
n_d,432
a_b,429
aw_,425
mat,423
o_a,419
ni_,415
si_,408
ngo,404
a_d,404
_ba,401
g_s,400
na_,387
gsu,381
yo_,380
o_k,374
imo,371
kay,364
mag,363
a_t,360
s_n,357
ndi,348
ond,347
dio,339
nak,337
ini,335
kan,332
iyo,332
os_,331
ada,323
amo,323
may,322
_je,321
_ir,321
ray,321
us_,318
_bu,314
ika,313
sus,307
no_,307
ung,306
aga,305
jes,304
esu,303
agi,303
ato,303
war,300
t_s,298
da_,298
agp,294
_ta,294
gpa,293
o_m,292
but,285
y_s,285
_wa,284
uta,284
hat,283
a_g,283
i_j,281
buh,278
_ni,276
_la,275
kal,275
ud_,272
aba,271
_tu,270
taw,267
agb,266
awa,266
uha,263
agt,259
_ti,258
ios,256
_ig,253
y_n,253
_ki,252
a_l,250
atu,249
ta_,249
ing,249
ag_,247
gka,247
sir,246
ali,245
_su,244
ahi,243
agk,241
kad,238
tun,237
aha,237
god,234
oo_,233
aya,229
n_g,227
i_a,226
n_t,226
agh,225
n_b,225
ba_,220
la_,219
g_n,218
man,216
awo,214
ulo,210
ano,209
aki,208
ino,206
gba,204
ro_,203
asu,199
lo_,195
gar,194
kas,194
ot_,194
pak,193
ong,193
wo_,193
abu,191
i_m,191
han,191
_am,191
as_,191
_in,189
_pi,188
wat,188
ito,186
gi_,186
_im,185
ari,184
gud,182
mak,181
tag,179
ran,178
aag,178
hi_,175
t_n,175
apa,174
nah,174
i_k,173
s_s,173
aon,172
tuo,170
igi,170
asa,169
say,167
_li,167
y_k,166
naa,166
ayu,165
it_,165
lal,161
d_a,160
nas,159
par,159
tik,159
alu,158
asi,158
pin,157
agu,155
bat,155
yu_,153
did,152
mao,151
itu,150
kin,149
yan,149
_ag,149
kaw,148
y_a,147
ngl,147
kak,146
gaw,146
nab,145
gto,143
tay,143
gon,142
gli,140
lug,139
sal,139
ka_,139
u_n,138
_ya,135
aim,134
ora,134
ak_,134
lak,133
pay,133
iwa,131
_da,131
ita,130
lit,130
bal,130
kat,129
_bi,129
lib,127
isa,126
i_p,126
iba,125
d_k,125
bab,123
_ad,123
ila,123
abo,123
isi,122
uma,122
_ik,122
inh,122
_ju,122
o_d,121
ao_,121
kar,120
kit,120
liw,120
gat,119
ist,119
him,118
rin,118
uno,118
_it,117
ki_,116
kab,115
bag,115
nat,114
bot,113
uhi,113
bis,113
am_,112
adi,111
pan,111
w_n,111
inb,110
ati,110
mah,110
pul,110
n_l,109
niy,108
nha,108
inu,108
o_i,107
too,107
ipa,106
o_p,105
ibu,104
_at,104
pa_,104
maa,104
lin,104
ris,103
ima,103
ura,103
a_j,103
t_a,102
bay,102
io_,101
mod,101
k_n,101
ma_,100
w_s,100
tin,100
lau,100
gbu,99
bar,99
ubu,99
a_h,99
bub,99
jud,99
una,98
sur,98
noo,98
hin,97
sto,97
ayo,96
uor,95
yon,94
ugo,91
t_k,91
_hi,91
sip,91
a_w,91
anh,90
gma,90
aup,89
nhi,89
aro,88
nap,88
ghu,88
ado,88
was,88
cri,88
gtu,87
m_s,87
ram,87
dis,87
ha_,86
law,86
gug,85
_ha,85
uro,85
gha,84
pad,84
ipu,83
tad,83
og_,83
udi,83
_ga,82
aud,82
upo,82
om_,82
ins,81
g_k,81
o_b,81
dam,81
don,81
ugm,81
m_n,81
aar,80
o_t,80
usa,80
y_m,80
lan,80
s_k,79
ian,79
adl,79
a_u,79
dar,79
pod,78
lon,77
kai,77
_un,77
pas,76
mar,76
dla,76
ida,76
ahu,76
igu,76
ili,75
d_m,74
rat,74
mam,74
nta,74
idt,73
y_p,73
yag,73
yaw,72
_es,72
gla,72
kah,72
ban,71
aru,71
ghi,71
dan,71
n_w,71
_po,70
nod,70
sta,70
pap,70
yao,70
inp,69
ngi,69
aad,69
kau,69
mon,68
_ib,68
rit,68
sad,68
agl,68
aan,67
alo,67
tul,67
hig,67
uba,66
_ut,66
agd,66
pir,66
npa,66
pat,65
esp,65
nsu,65
int,65
tro,64
tub,64
_ku,64
_gu,64
bug,64
n_h,63
n_u,63
sit,63
huk,63
_cr,63
oan,62
aho,62
tum,62
hun,62
ti_,62
amu,62
nba,61
o_g,61
raw,61
_lu,61
uko,61
s_a,61
i_t,60
nai,60
gal,60
go_,60
mal,60
gta,60
utr,60
spi,59
kap,59
ia_,59
non,59
gsa,59
_o_,58
k_s,58
gda,57
kom,57
ugt,57
olo,57
g_a,57
um_,57
y_t,57
n_j,57
ras,57
ap_,56
tu_,56
lab,56
hib,56
kaa,56
nbu,56
lip,55
pam,55
kil,55
nti,55
bah,54
pol,54
lag,54
ok_,54
u_s,54
ar_,54
mai,53
hah,53
had,53
sum,53
i_i,52
day,52
uwa,52
abi,52
n_c,52
mab,52
mi_,52
ig_,52
iin,51
_ca,50
upa,49
hit,49
ami,49
gti,49
e_n,49
_is,48
_mi,48
s_m,48
oy_,48
wa_,48
oon,48
ona,48
iha,47
rus,47
ngk,47
imd,47
uya,47
i_d,47
o_l,46
tra,46
mas,46
_pu,46
_pe,46
sub,46
dii,46
pit,45
api,44
wag,44
ant,44
o_w,44
_mo,43
w_k,43
tug,43
mda,43
hon,43
nir,43
y_i,43
is_,42
a_e,42
uod,42
tat,42
ho_,42
dro,41
haw,41
ihi,41
_aa,41
cap,41
p_s,40
